harvest,post,slope_pct,wall_width_m,wall_high_outside_m,wall_high_m,wall_two_outside_m,wall_width,wall_ht_highest_inside,wall_ht_outside_highest_ft,wall_ht_outside_two_ft,built,year,month,elapsed
gas_line,211,2.8571428571428594,7.4676,3.4442399999999997,3.6576000000000004,2.0726400000000003,24.5,12,11.299999999999999,6.8,2017_06,2017,7,1
gas_line,211,0.3571428571428622,8.5344,2.8651199999999997,2.8956,2.2555199999999997,28,9.5,9.399999999999999,7.399999999999999,2017_06,2018,10,16
gas_line,211,5.2631578947368425,8.6868,2.4384,2.8956,0.9144000000000001,28.5,9.5,8,3,2017_06,2019,11,29
gas_line,211,2.0833333333333335,7.315200000000001,2.5908,2.7432000000000003,1.2192,24,9,8.5,4,2017_06,2020,10,40
gas_line,212,-0.8130081300813007,6.2484,3.2512,3.2004,2.4892,20.5,10.5,10.666666666666666,8.166666666666666,2017_06,2017,7,1
gas_line,212,0,7.010400000000001,2.1336,2.1336,1.6764000000000001,23,7,7,5.5,2017_06,2018,10,16
gas_line,212,-2.127659574468085,7.162800000000001,2.5908,2.4384,1.8288000000000002,23.5,8,8.5,6,2017_06,2019,11,29
gas_line,212,0,5.9436,1.8288000000000002,1.8288000000000002,1.3716000000000002,19.5,6,6,4.5,2017_06,2020,10,40
gas_line,213,-7.407407407407408,6.8580000000000005,3.7084,3.2004,2.4892,22.5,10.5,12.166666666666666,8.166666666666666,2017_06,2017,7,1
gas_line,213,-10.256410256410257,5.9436,3.3528000000000002,2.7432000000000003,2.1336,19.5,9,11,7,2017_06,2018,10,16
gas_line,213,-6.521739130434782,7.010400000000001,2.8956,2.4384,1.8288000000000002,23,8,9.5,6,2017_06,2019,11,29
gas_line,213,-6.666666666666667,6.8580000000000005,2.4384,1.9812,1.524,22.5,6.5,8,5,2017_06,2020,10,40
gas_line,214,-8.51063829787234,7.162800000000001,4.1148,3.5052000000000003,3.048,23.5,11.5,13.5,10,2017_06,2017,7,1
gas_line,214,-8.695652173913043,7.010400000000001,3.048,2.4384,2.4384,23,8,10,8,2017_06,2018,10,16
gas_line,214,-9.523809523809524,6.4008,2.7432000000000003,2.1336,1.9812,21,7,9,6.5,2017_06,2019,11,29
gas_line,214,-8.695652173913043,7.010400000000001,2.4384,1.8288000000000002,1.9812,23,6,8,6.5,2017_06,2020,10,40
gas_line,215,-12.962962962962964,5.486400000000001,4.064,3.3528000000000002,2.6924,18,11,13.333333333333334,8.833333333333334,2017_06,2017,7,1
gas_line,215,-12.820512820512821,5.9436,3.5052000000000003,2.7432000000000003,2.4384,19.5,9,11.5,8,2017_06,2018,10,16
gas_line,215,-15.625,4.8768,3.3528000000000002,2.5908,2.1336,16,8.5,11,7,2017_06,2019,11,29
gas_line,215,-12.5,4.8768,2.286,1.6764000000000001,1.8288000000000002,16,5.5,7.5,6,2017_06,2020,10,40
gas_line,216,-7.092198581560284,7.162800000000001,3.2512,2.7432000000000003,2.4892,23.5,9,10.666666666666666,8.166666666666666,2017_06,2017,7,1
gas_line,216,-12.820512820512821,5.9436,2.7432000000000003,1.9812,2.1336,19.5,6.5,9,7,2017_06,2018,10,16
gas_line,216,-4.651162790697675,6.5532,2.286,1.9812,1.8288000000000002,21.5,6.5,7.5,6,2017_06,2019,11,29
gas_line,216,-7.142857142857143,6.4008,2.1336,1.6764000000000001,1.8288000000000002,21,5.5,7,6,2017_06,2020,10,40
gas_line,217,-5.128205128205128,7.9248,3.1496000000000004,2.7432000000000003,2.5400000000000005,26,9,10.333333333333334,8.333333333333334,2017_06,2017,7,1
gas_line,217,-3.225806451612903,9.4488,2.7432000000000003,2.4384,2.1336,31,8,9,7,2017_06,2018,10,16
gas_line,217,-6.976744186046512,6.5532,2.7432000000000003,2.286,2.1336,21.5,7.5,9,7,2017_06,2019,11,29
gas_line,217,-6.976744186046512,6.5532,2.5908,2.1336,1.9812,21.5,7,8.5,6.5,2017_06,2020,10,40
gas_line,218,-8.571428571428571,5.3340000000000005,3.5052000000000003,3.048,2.4384,17.5,10,11.5,8,2017_06,2017,7,1
gas_line,218,-5.405405405405405,5.638800000000001,2.8956,2.5908,2.1336,18.5,8.5,9.5,7,2017_06,2018,10,16
gas_line,218,-7.894736842105263,5.7912,3.3528000000000002,2.8956,2.286,19,9.5,11,7.5,2017_06,2019,11,29
gas_line,218,-11.764705882352942,5.1816,2.8956,2.286,2.286,17,7.5,9.5,7.5,2017_06,2020,10,40
gas_line,219,-11.347517730496453,7.162800000000001,3.4036,2.5908,3.0987999999999998,23.5,8.5,11.166666666666666,10.166666666666666,2017_06,2017,7,1
gas_line,219,-15,6.096,2.8956,1.9812,2.7432000000000003,20,6.5,9.5,9,2017_06,2018,10,16
gas_line,219,-11.363636363636363,6.7056000000000004,2.286,1.524,1.9812,22,5,7.5,6.5,2017_06,2019,11,29
gas_line,219,-11.627906976744185,6.5532,1.9812,1.2192,1.9812,21.5,4,6.5,6.5,2017_06,2020,10,40
gas_line,220,-7.894736842105263,5.7912,4.7244,4.2672,2.286,19,14,15.5,7.5,2017_06,2017,7,1
gas_line,220,-7.317073170731708,6.2484,4.4196,3.9624,1.9812,20.5,13,14.5,6.5,2017_06,2018,10,16
gas_line,220,-6.666666666666667,6.8580000000000005,3.5052000000000003,3.048,1.8288000000000002,22.5,10,11.5,6,2017_06,2019,11,29
gas_line,220,-6.818181818181818,6.7056000000000004,3.3528000000000002,2.8956,1.6764000000000001,22,9.5,11,5.5,2017_06,2020,10,40
gas_line,221,-11.428571428571429,5.3340000000000005,3.9624,3.3528000000000002,2.5908,17.5,11,13,8.5,2017_06,2017,7,1
gas_line,221,-10.81081081081081,5.638800000000001,3.3528000000000002,2.7432000000000003,2.1336,18.5,9,11,7,2017_06,2018,10,16
gas_line,221,-13.157894736842104,5.7912,2.8956,2.1336,2.1336,19,7,9.5,7,2017_06,2019,11,29
gas_line,221,-8.823529411764707,5.1816,1.8288000000000002,1.3716000000000002,1.524,17,4.5,6,5,2017_06,2020,10,40
gas_line,222,-11.764705882352942,5.1816,3.5052000000000003,2.8956,3.2004,17,9.5,11.5,10.5,2017_06,2017,7,1
gas_line,222,-14.285714285714286,5.3340000000000005,2.7432000000000003,1.9812,2.1336,17.5,6.5,9,7,2017_06,2018,10,16
gas_line,222,-8.108108108108109,5.638800000000001,2.7432000000000003,2.286,1.9812,18.5,7.5,9,6.5,2017_06,2019,11,29
gas_line,222,-12.903225806451612,4.7244,2.4384,1.8288000000000002,1.6764000000000001,15.5,6,8,5.5,2017_06,2020,10,40
gas_line,223,-2.2222222222222223,6.8580000000000005,3.81,3.6576000000000004,2.5908,22.5,12,12.5,8.5,2017_06,2017,7,1
gas_line,223,-2.5641025641025643,5.9436,3.048,2.8956,2.1336,19.5,9.5,10,7,2017_06,2018,10,16
gas_line,223,-2.1739130434782608,7.010400000000001,2.8956,2.7432000000000003,1.9812,23,9,9.5,6.5,2017_06,2019,11,29
gas_line,223,-2.380952380952381,6.4008,2.7432000000000003,2.5908,1.8288000000000002,21,8.5,9,6,2017_06,2020,10,40
gas_line,224,-1.3333333333333344,6.096,3.5864800000000003,3.5052000000000003,2.8244800000000003,20,11.5,11.766666666666667,9.266666666666667,2017_06,2017,7,1
gas_line,224,2.857142857142857,5.3340000000000005,2.8956,3.048,2.1336,17.5,10,9.5,7,2017_06,2018,10,16
gas_line,224,0,5.638800000000001,2.7432000000000003,2.7432000000000003,1.3716000000000002,18.5,9,9,4.5,2017_06,2019,11,29
gas_line,224,-6.842105263157897,5.7912,2.9870400000000004,2.5908,1.4630400000000003,19,8.5,9.8,4.800000000000001,2017_06,2020,10,40
gas_line,225,-3.7878787878787885,6.7056000000000004,4.2164,3.9624,2.6924,22,13,13.833333333333334,8.833333333333334,2017_06,2017,7,1
gas_line,225,-12.121212121212121,5.0292,4.1148,3.5052000000000003,2.8956,16.5,11.5,13.5,9.5,2017_06,2018,10,16
gas_line,225,0,7.010400000000001,2.8956,2.8956,1.8288000000000002,23,9.5,9.5,6,2017_06,2019,11,29
gas_line,225,-2.3255813953488373,6.5532,3.2004,3.048,1.524,21.5,10,10.5,5,2017_06,2020,10,40
gas_line,226,-6.122448979591836,7.4676,4.2672,3.81,1.9812,24.5,12.5,14,6.5,2017_06,2017,7,1
gas_line,226,-6.382978723404255,7.162800000000001,3.048,2.5908,1.6764000000000001,23.5,8.5,10,5.5,2017_06,2018,10,16
gas_line,226,-6.25,7.315200000000001,2.8956,2.4384,1.524,24,8,9.5,5,2017_06,2019,11,29
gas_line,226,-6.382978723404255,7.162800000000001,2.7432000000000003,2.286,1.524,23.5,7.5,9,5,2017_06,2020,10,40
gas_line,227,-4.065040650406504,6.2484,3.4544,3.2004,3.1496000000000004,20.5,10.5,11.333333333333334,10.333333333333334,2017_06,2017,7,1
gas_line,227,0,6.7056000000000004,2.5908,2.5908,2.4384,22,8.5,8.5,8,2017_06,2018,10,16
gas_line,227,-7.894736842105263,5.7912,2.5908,2.1336,1.3716000000000002,19,7,8.5,4.5,2017_06,2019,11,29
gas_line,227,-4.545454545454546,6.7056000000000004,2.4384,2.1336,1.3716000000000002,22,7,8,4.5,2017_06,2020,10,40
gas_line,228,-2.272727272727273,6.7056000000000004,3.9624,3.81,2.1336,22,12.5,13,7,2017_06,2017,7,1
gas_line,228,-2.0408163265306123,7.4676,2.4384,2.286,1.524,24.5,7.5,8,5,2017_06,2018,10,16
gas_line,228,-2.380952380952381,6.4008,2.8956,2.7432000000000003,1.524,21,9,9.5,5,2017_06,2019,11,29
gas_line,228,-2.4390243902439024,6.2484,2.8956,2.7432000000000003,1.3716000000000002,20.5,9,9.5,4.5,2017_06,2020,10,40
gas_line,229,-13.333333333333332,6.096,5.232400000000001,4.4196,2.9464,20,14.5,17.166666666666668,9.666666666666666,2017_06,2017,7,1
gas_line,229,-20.930232558139537,6.5532,4.1148,2.7432000000000003,3.3528000000000002,21.5,9,13.5,11,2017_06,2018,10,16
gas_line,229,-9.523809523809524,6.4008,3.81,3.2004,1.9812,21,10.5,12.5,6.5,2017_06,2019,11,29
gas_line,229,-8.571428571428571,5.3340000000000005,3.3528000000000002,2.8956,1.524,17.5,9.5,11,5,2017_06,2020,10,40
gas_line,230,-21.62162162162162,5.638800000000001,5.0292,3.81,3.048,18.5,12.5,16.5,10,2017_06,2017,7,1
gas_line,230,-28.205128205128204,5.9436,4.572,2.8956,2.8956,19.5,9.5,15,9.5,2017_06,2018,10,16
gas_line,230,-16.666666666666668,5.486400000000001,4.1148,3.2004,2.286,18,10.5,13.5,7.5,2017_06,2019,11,29
gas_line,230,-22.580645161290324,4.7244,2.4384,1.3716000000000002,1.9812,15.5,4.5,8,6.5,2017_06,2020,10,40
gas_line,231,-16.666666666666668,5.486400000000001,5.0292,4.1148,2.5908,18,13.5,16.5,8.5,2017_06,2017,7,1
